Camera,TimePeriod,NDVI,Rain,River Distance,Fire,Sparse Tree,Moderate Tree,Dense Tree,Latitude,Longitude,Days,Forest,Thomson's Gazelle
1,1,0.72573,0,3025.2,0,1,0,0,-2.4269,34.754,8,0,0
1,2,0.67693,0,3025.2,0,1,0,0,-2.4269,34.754,1,0,0
1,8,0.53525,0,3025.2,0,1,0,0,-2.4269,34.754,6,0,0
1,9,0.56612,0,3025.2,0,1,0,0,-2.4269,34.754,8,0,0
1,10,0.64804,0,3025.2,0,1,0,0,-2.4269,34.754,8,0,0
1,11,0.59028,0,3025.2,0,1,0,0,-2.4269,34.754,8,0,0
1,12,0.63004,0,3025.2,0,1,0,0,-2.4269,34.754,8,0,0
1,13,0.63041,1,3025.2,0,1,0,0,-2.4269,34.754,8,0,0
1,14,0.71186,1,3025.2,0,1,0,0,-2.4269,34.754,5,0,0
1,28,0.28784,0,3025.2,0,1,0,0,-2.4269,34.754,8,0,1
1,29,0.28267,0,3025.2,0,1,0,0,-2.4269,34.754,8,0,1
1,30,0.32037,0,3025.2,0,1,0,0,-2.4269,34.754,8,0,1
1,31,0.32933,0,3025.2,0,1,0,0,-2.4269,34.754,8,0,1
1,32,0.32933,0,3025.2,0,1,0,0,-2.4269,34.754,8,0,1
1,33,0.4735,0,3025.2,0,1,0,0,-2.4269,34.754,8,0,0
1,34,0.52699,0,3025.2,0,1,0,0,-2.4269,34.754,8,0,1
1,35,0.39136,0,3025.2,0,1,0,0,-2.4269,34.754,6,0,1
2,1,0.85209,0,1649.2,0,0,0,1,-2.4462,34.756,8,1,0
2,2,0.68377,0,1649.2,0,0,0,1,-2.4462,34.756,8,1,0
2,3,0.70467,0,1649.2,0,0,0,1,-2.4462,34.756,8,1,0
2,4,0.57758,0,1649.2,0,0,0,1,-2.4462,34.756,8,1,0
2,5,0.52462,0,1649.2,0,0,0,1,-2.4462,34.756,8,1,0
2,6,0.49632,0,1649.2,0,0,0,1,-2.4462,34.756,8,1,0
2,7,0.41543,0,1649.2,0,0,0,1,-2.4462,34.756,8,1,0
2,8,0.56767,0,1649.2,0,0,0,1,-2.4462,34.756,8,1,0
2,9,0.55583,0,1649.2,0,0,0,1,-2.4462,34.756,8,1,0
2,10,0.60929,0,1649.2,0,0,0,1,-2.4462,34.756,8,1,0
2,11,0.5936,0,1649.2,0,0,0,1,-2.4462,34.756,8,1,0
2,12,0.49323,0,1649.2,0,0,0,1,-2.4462,34.756,8,1,0
2,13,0.61292,1,1649.2,0,0,0,1,-2.4462,34.756,8,1,0
2,14,0.68645,1,1649.2,0,0,0,1,-2.4462,34.756,8,1,0
2,15,0.7049,1,1649.2,0,0,0,1,-2.4462,34.756,8,1,0
